,subjects,models,performance
0,AN,shortWords,0.0007449042820859353
1,AN,bg,0.0004264147025759739
2,AN,res,0.00014892511612319456
3,AH,shortWords,0.00020280024348758307
4,AH,bg,0.00041632413465896007
5,AH,res,0.00016941490970360463
6,BG,shortWords,0.00031981593816734203
7,BG,bg,0.0003686568820377567
8,BG,res,0.00019793837294081998
9,DS,shortWords,0.00018603500983177347
10,DS,bg,0.0002448172969560089
11,DS,res,0.00021702943629011809
12,JG,shortWords,0.0004717599701091702
13,JG,bg,0.00046786351859185734
14,JG,res,0.00010260684636543283
15,ML,shortWords,0.00037343009242881916
16,ML,bg,0.0006332086623245269
17,ML,res,0.0003147517771566475
18,NNS0,shortWords,0.00013368199083898193
19,NNS0,bg,0.00014960180698965652
20,NNS0,res,0.00014520150717465811
21,SP,shortWords,0.0003000005120570204
22,SP,bg,0.0007823297884034662
23,SP,res,0.00043849353029845384
24,SS,shortWords,0.0007919092187448319
25,SS,bg,0.00046590634405275426
26,SS,res,0.00021191018796302944
27,WH,shortWords,0.00036224413277706355
28,WH,bg,0.00018131766923301567
29,WH,res,7.87053025521892e-05
30,TZ,shortWords,0.0005347863165363917
31,TZ,bg,0.000765961844309567
32,TZ,res,0.0008706157815169383
